city,GEOID,mobility_in_entropy,mobility_in_degree,mobility_in_weight,mobility_in_missing_income_neighbors,mobility_out_entropy,mobility_out_degree,mobility_out_weight,mobility_out_missing_income_neighbors,mentions_in_entropy,mentions_in_degree,mentions_in_weight,mentions_in_missing_income_neighbors,mentions_out_entropy,mentions_out_degree,mentions_out_weight,mentions_out_missing_income_neighbors
Chicago,17043841320,0.8373070051242401,40,65.0,0,0.8049977305341636,90,144.0,0,0.5177130916611412,13,15.0,0,0.5333862650237753,11,14.0,0
Chicago,18089042802,0.9465946621668535,87,192.0,0,0.9922348567805785,139,292.0,0,0.8139582293001213,18,23.0,0,0.7099668737167834,18,28.0,0
Chicago,17089851301,0.8447919484035392,51,88.0,0,0.9467971412396922,94,131.0,0,0.960058249314534,10,11.0,0,0.9099617502405772,15,16.0,0
Chicago,17031460302,0.6056869508975633,36,50.0,0,0.8838573821930166,160,223.0,0,0.6682482523798964,14,14.0,0,0.6729127389687917,17,17.0,0
Chicago,18089041002,0.8693678996582006,58,102.0,0,0.9161041074275951,132,296.0,0,0.7052429155952145,12,13.0,0,0.7440029291716864,14,20.0,0
Chicago,17043841404,0.7908765134730876,69,105.0,0,0.8309851344248123,70,90.0,0,0.5024424688300348,6,8.0,0,0.5024424688300348,6,8.0,0
Chicago,17031660600,0.8260396637249435,72,100.0,0,0.9335907939864224,321,434.0,0,0.7645303474314351,18,19.0,0,0.7724405966408204,33,37.0,0
Chicago,17111870812,0.813759474018783,39,51.0,0,0.8569149999281613,114,163.0,0,0.8499774069493011,14,18.0,0,0.8605934330165173,13,16.0,0
Chicago,17031824602,0.9493208033748292,128,237.0,0,0.961757261903367,136,309.0,0,0.9086623426981293,29,35.0,0,0.9186036732522916,15,17.0,0
Chicago,17031825700,0.8558561924140689,73,99.0,0,0.9493890846769212,153,212.0,0,0.8254480195122997,29,39.0,0,0.8907532430347884,38,62.0,0
Chicago,17031823200,0.9511926904537793,240,399.0,0,0.934838807563028,182,335.0,0,0.8539987710653566,25,32.0,0,0.9155002894283025,35,48.0,0
Chicago,17031251100,0.7388053693612815,53,77.0,0,0.9212442231283376,119,141.0,0,0.5802792108518124,4,4.0,0,0.5303560860446522,5,5.0,0
Chicago,17031826700,0.8775041414346785,78,100.0,0,0.8927618179638009,161,243.0,0,0.7501690241800235,35,39.0,0,0.7113963083046582,26,38.0,0
Chicago,17031811702,0.9161597880756819,105,163.0,0,0.9140644335128011,81,146.0,0,0.5912537991489759,14,24.0,0,0.7200550402112079,15,25.0,0
Chicago,17031821900,0.9624200357058084,130,226.0,0,0.9125507252986385,104,166.0,0,0.8587859575328521,25,29.0,0,0.7407212478501118,21,30.0,0
