city,GEOID,lon,lat,Income,pct_black,pct_hispanic,pct_other_race,mobility_in_entropy,mobility_in_degree,mobility_in_weight,mobility_in_missing_income_neighbors,mobility_out_entropy,mobility_out_degree,mobility_out_weight,mobility_out_missing_income_neighbors,mentions_in_entropy,mentions_in_degree,mentions_in_weight,mentions_in_missing_income_neighbors,mentions_out_entropy,mentions_out_degree,mentions_out_weight,mentions_out_missing_income_neighbors,Income_k,Income_k_sq
Chicago,17031190100,-87.744811,41.935803,31985,0.015913978494623657,0.818494623655914,0.04817204301075269,0.8620901962678501,75,104.0,0,0.96019497901365,103,116.0,0,0.5802792108518124,4,4.0,0,0.7737056144690833,4,4.0,0,31.985,1023.040225
Chicago,17031730400,-87.652725,41.717838,53427,0.9527466036621383,0.02598936798582398,0.017129356172474897,0.9254454720042904,123,169.0,0,0.9236133318383156,156,238.0,0,0.738159632730775,33,33.0,0,0.617202493966039,61,66.0,0,53.427,2854.444329
Chicago,17197883504,-87.847778,41.498193,87764,0.04987486592777977,0.054165176975330714,0.03843403646764391,0.8393391026870091,152,315.0,0,0.8539220811438614,167,334.0,0,0.5610710575524164,24,49.0,0,0.5167774479663245,20,37.0,0,87.764,7702.519695999999
Chicago,17031843100,-87.704245,41.860092,29135,0.81740125930166,0.07784773898111047,0.02633085289066972,0.8155690256100898,120,140.0,0,0.8511056065488488,74,89.0,0,0.7372018207993071,8,8.0,0,0.9683925140412224,8,9.0,0,29.135,848.8482250000001
Chicago,17031831400,-87.764639,41.868895,35077,0.6840425531914893,0.19042553191489361,0.03475177304964539,0.9720400137282508,340,533.0,0,0.9428537072336548,108,132.0,0,0.8467132018086354,12,12.0,0,0.8023964535051947,13,14.0,0,35.077,1230.3959289999998
Chicago,17031820700,-87.789682,41.817421,51491,0.02362869198312236,0.6424753867791843,0.036990154711673696,0.910855171279566,143,251.0,0,0.9499905733990454,194,309.0,0,0.8190655887200173,36,86.0,0,0.8303137591867714,48,85.0,0,51.491,2651.323081
Chicago,17031835500,-87.633472,41.815247,15000,0.7916666666666666,0.13383838383838384,0.04292929292929293,0.9051302101715212,307,401.0,0,0.9464468377892036,227,245.0,0,0.9335100357365148,11,11.0,0,0.8830258581565628,15,15.0,0,15.0,225.0
Chicago,17031800600,-87.715844,42.088571,227708,0.0032935364347468094,0.03828736105393166,0.07863318237958007,0.7012963077801541,39,47.0,0,0.717335694993616,13,13.0,0,,0,0.0,0,-0.0,1,1.0,0,227.708,51850.933264
Chicago,17031809500,-87.687171,42.046133,57835,0.08260469397146801,0.06327657616198804,0.23469857340082834,0.9416361375505315,89,143.0,0,0.9880651917441376,115,182.0,0,0.7289519779393747,13,13.0,0,0.796457933048093,9,9.0,0,57.835,3344.887225
Chicago,17031839100,-87.630639,41.880467,78858,0.11841146465873209,0.0929074568860821,0.2594121933446685,0.9882114817910276,1447,3693.0,0,0.9737835531124364,508,1047.0,0,0.8509553984313722,13,13.0,0,0.8232557641736381,7,7.0,0,78.858,6218.584164000001
Chicago,17031061100,-87.656966,41.949518,91893,0.018288222384784197,0.08266276517922458,0.08046817849305048,0.9550492599418114,760,1290.0,0,0.855562383098486,122,169.0,0,0.6898542775901071,19,19.0,0,0.6383158058146022,12,12.0,0,91.893,8444.323449
Chicago,17031813802,-87.753784,41.847993,40457,0.02601855586930214,0.8979427188382412,0.017749092375958047,0.7775897224204968,73,126.0,0,0.9299946981711004,180,286.0,0,0.4410384144272111,10,17.0,0,0.5123711825344243,11,16.0,0,40.457,1636.768849
Chicago,17031813801,-87.74528,41.850112,44868,0.018557422969187675,0.9338235294117647,0.014355742296918767,0.8587647133838577,184,308.0,0,0.9333912815444524,88,120.0,0,0.6157430825933764,12,14.0,0,0.3868528072345416,4,4.0,0,44.868,2013.1374240000002
Chicago,17031815500,-87.787288,41.825039,65313,0.030204572803850784,0.7117930204572804,0.03176895306859206,0.8847374975521035,142,282.0,0,0.9742094152829855,284,592.0,0,0.8066949908233618,43,110.0,0,0.7243445340488643,56,121.0,0,65.313,4265.787969
Chicago,17031301701,-87.719527,41.842433,28964,0.008646880112175742,0.9696190698761393,0.009581677962140687,0.7688933384798137,43,55.0,0,0.9632519546029,84,104.0,0,0.6520308502568677,9,10.0,0,0.4841962570206112,6,6.0,0,28.964,838.913296
Chicago,17031440300,-87.619936,41.744749,49207,0.9467607440667094,0.013256360915116528,0.03506521274321146,0.7996147563308623,229,334.0,0,0.8596707115747576,196,258.0,0,0.694664970130182,20,21.0,0,0.6573780774839302,32,34.0,0,49.207,2421.328849
Chicago,18089012800,-87.350747,41.599682,18839,0.8518150174042765,0.07458975634012929,0.04475385380407757,0.601912439459344,36,54.0,0,0.6339047329065955,20,22.0,0,-0.0,2,2.0,0,-0.0,1,1.0,0,18.839,354.90792099999993
Chicago,17031292400,-87.722193,41.855449,23241,0.8740813326800588,0.09211170994610485,0.014208721215090642,0.7037791886819824,63,85.0,0,0.355245321275764,3,3.0,0,,0,0.0,0,-0.0,1,1.0,0,23.241,540.144081
Chicago,17031010100,-87.669534,42.0212,32188,0.43384301732925584,0.15025484199796127,0.10458715596330276,0.9471060176940482,104,160.0,0,0.975486195387148,169,284.0,0,0.7893241751550633,11,11.0,0,0.863173161693871,11,11.0,0,32.188,1036.067344
